subject,channel_config,n_channels,classes,best_acc,aver_acc,source,duration
1,c3c4,2,"1,2",0.6805555555555556,0.6151944444444444,reused_baseline,
3,c3c4,2,"1,2",0.8888888888888888,0.8489999999999995,reused_baseline,
5,c3c4,2,"1,2",0.6180555555555556,0.54075,reused_baseline,
8,c3c4,2,"1,2",0.6944444444444444,0.654638888888889,reused_baseline,
9,c3c4,2,"1,2",0.8680555555555556,0.8279444444444451,reused_baseline,
1,c3cz,2,"1,2",0.743056,0.673306,fresh_run,0:01:49.995908
3,c3cz,2,"1,2",0.868056,0.821000,fresh_run,0:01:45.584858
5,c3cz,2,"1,2",0.604167,0.543833,fresh_run,0:01:33.969928
8,c3cz,2,"1,2",0.805556,0.732750,fresh_run,0:01:59.576191
9,c3cz,2,"1,2",0.791667,0.669750,fresh_run,0:01:57.074037
1,czc4,2,"1,2",0.701389,0.604083,fresh_run,0:01:52.345222
3,czc4,2,"1,2",0.854167,0.779611,fresh_run,0:02:03.896401
5,czc4,2,"1,2",0.555556,0.503528,fresh_run,0:02:00.491919
8,czc4,2,"1,2",0.854167,0.798194,fresh_run,0:01:53.555125
9,czc4,2,"1,2",0.909722,0.856778,fresh_run,0:02:02.233339
1,c3czc4,3,"1,2",0.840278,0.763750,fresh_run,0:02:22.005429
3,c3czc4,3,"1,2",0.937500,0.884528,fresh_run,0:02:25.640608
5,c3czc4,3,"1,2",0.652778,0.561611,fresh_run,0:02:27.099076
8,c3czc4,3,"1,2",0.937500,0.871667,fresh_run,0:02:13.691939
9,c3czc4,3,"1,2",0.902778,0.836667,fresh_run,0:02:10.403341
1,c1czc2,3,"1,2",0.763889,0.659722,fresh_run,0:01:58.009764
3,c1czc2,3,"1,2",0.944444,0.855639,fresh_run,0:01:46.247028
5,c1czc2,3,"1,2",0.604167,0.544111,fresh_run,0:01:56.970934
8,c1czc2,3,"1,2",0.881944,0.775222,fresh_run,0:01:55.529161
9,c1czc2,3,"1,2",0.888889,0.818222,fresh_run,0:02:01.758005
