condition,subject,expected_acc,selected_dir,actual_acc,acc_diff,n_classes
full_4class_9sub,1,0.850700,subject_1_20260328_190741,0.850694,0.000006,4
full_4class_9sub,2,0.548600,subject_2_20260328_214919,0.548611,0.000011,4
full_4class_9sub,3,0.902800,subject_3_20260328_215235,0.902778,0.000022,4
full_4class_9sub,4,0.711800,subject_4_20260328_215553,0.711806,0.000006,4
full_4class_9sub,5,0.489600,subject_5_20260328_215910,0.489583,0.000017,4
full_4class_9sub,6,0.600700,subject_6_20260328_220228,0.600694,0.000006,4
full_4class_9sub,7,0.843800,subject_7_20260328_220545,0.843750,0.000050,4
full_4class_9sub,8,0.826400,subject_8_20260328_220902,0.826389,0.000011,4
full_4class_9sub,9,0.833300,subject_9_20260328_221220,0.833333,0.000033,4
c3c4_4class_9sub,1,0.583300,subject_1_ch2_cls4_20260329_001044,0.583333,0.000033,4
c3c4_4class_9sub,2,0.399300,subject_2_ch2_cls4_20260329_001133,0.399306,0.000006,4
c3c4_4class_9sub,3,0.677100,subject_3_ch2_cls4_20260329_001225,0.677083,0.000017,4
c3c4_4class_9sub,4,0.465300,subject_4_ch2_cls4_20260329_001308,0.465278,0.000022,4
c3c4_4class_9sub,5,0.319400,subject_5_ch2_cls4_20260329_001359,0.319444,0.000044,4
c3c4_4class_9sub,6,0.441000,subject_6_ch2_cls4_20260329_001451,0.440972,0.000028,4
c3c4_4class_9sub,7,0.496500,subject_7_ch2_cls4_20260329_001534,0.496528,0.000028,4
c3c4_4class_9sub,8,0.486100,subject_8_ch2_cls4_20260329_001623,0.486111,0.000011,4
c3c4_4class_9sub,9,0.607600,subject_9_ch2_cls4_20260329_001715,0.607639,0.000039,4
c3c4_2class_9sub,1,0.680556,subject_1_ch2_cls2_20260329_011120,0.680556,0.000000,2
c3c4_2class_9sub,2,0.638889,subject_2_ch2_cls2_20260329_005938,0.638889,0.000000,2
c3c4_2class_9sub,3,0.888889,subject_3_ch2_cls2_20260329_010003,0.888889,0.000000,2
c3c4_2class_9sub,4,0.645833,subject_4_ch2_cls2_20260329_010025,0.645833,0.000000,2
c3c4_2class_9sub,5,0.618056,subject_5_ch2_cls2_20260329_010054,0.618056,0.000000,2
c3c4_2class_9sub,6,0.666667,subject_6_ch2_cls2_20260329_010126,0.666667,0.000000,2
c3c4_2class_9sub,7,0.666667,subject_7_ch2_cls2_20260329_010158,0.666667,0.000000,2
c3c4_2class_9sub,8,0.694444,subject_8_ch2_cls2_20260329_010221,0.694444,0.000000,2
c3c4_2class_9sub,9,0.868056,subject_9_ch2_cls2_20260329_010244,0.868056,0.000000,2
c3c4_4class_pilot5_baseline,1,0.583300,subject_1_ch2_cls4_20260329_001044,0.583333,0.000033,4
c3c4_4class_pilot5_baseline,3,0.677100,subject_3_ch2_cls4_20260329_001225,0.677083,0.000017,4
c3c4_4class_pilot5_baseline,5,0.319400,subject_5_ch2_cls4_20260329_001359,0.319444,0.000044,4
c3c4_4class_pilot5_baseline,8,0.486100,subject_8_ch2_cls4_20260329_001623,0.486111,0.000011,4
c3c4_4class_pilot5_baseline,9,0.607600,subject_9_ch2_cls4_20260329_001715,0.607639,0.000039,4
c3c4_4class_pilot5_kd,1,0.614583,kdstudent_subject_1_ch2_cls4_20260329_112642,0.614583,0.000000,4
c3c4_4class_pilot5_kd,3,0.684028,kdstudent_subject_3_ch2_cls4_20260329_113650,0.684028,0.000000,4
c3c4_4class_pilot5_kd,5,0.333333,kdstudent_subject_5_ch2_cls4_20260329_114731,0.333333,0.000000,4
c3c4_4class_pilot5_kd,8,0.486111,kdstudent_subject_8_ch2_cls4_20260329_115729,0.486111,0.000000,4
c3c4_4class_pilot5_kd,9,0.618056,kdstudent_subject_9_ch2_cls4_20260329_120627,0.618056,0.000000,4
