subject,n_seeds,best_acc_mean,best_acc_std,aver_acc_mean,aver_acc_std
1,3,0.780208,0.010045,0.704754,0.019589
2,3,0.620238,0.005455,0.576590,0.002148
3,3,0.584375,0.003125,0.544229,0.004259
4,3,0.986458,0.001804,0.973163,0.004714
5,3,0.863542,0.011831,0.767663,0.020610
6,3,0.890625,0.006250,0.823329,0.009604
7,3,0.858333,0.006505,0.814950,0.008282
8,3,0.947917,0.003608,0.911771,0.005941
9,3,0.923958,0.001804,0.891850,0.003925

overall_subject_means,3,0.828406,0.141246,0.778700,0.147074
overall_seed_means,3,0.828406,0.002382,0.778700,0.002691
