subject,n_seeds,best_acc_mean,best_acc_std,aver_acc_mean,aver_acc_std
1,3,0.703704,0.020047,0.628407,0.016814
2,3,0.648148,0.022323,0.580268,0.019349
3,3,0.888889,0.000000,0.845352,0.007478
4,3,0.627315,0.016037,0.566741,0.002378
5,3,0.613426,0.014456,0.538685,0.010172
6,3,0.668982,0.004009,0.613222,0.004196
7,3,0.648148,0.026291,0.579213,0.018628
8,3,0.699074,0.014456,0.641741,0.016162
9,3,0.875000,0.012028,0.826352,0.004442

overall_subject_means,3,0.708076,0.102986,0.646665,0.111941
overall_seed_means,3,0.708076,0.005420,0.646665,0.006278
